year,net_profit_y_billion_cny,operating_revenue_x2_billion_cny,operating_cost_x3_billion_cny,gdp_growth_index_x4_prev_year_100,cpi_x5_1978_100
2000,2.5,11.14,1.97,108.5,434.0
2001,3.28,16.18,2.88,108.3,437.0
2002,3.76,18.35,3.41,109.1,433.5
2003,5.87,24.01,4.77,110.0,438.7
2004,8.21,30.1,5.35,110.5,455.8
2005,11.19,39.31,6.87,110.9,464.0
2006,15.45,49.03,7.87,113.3,471.0
2007,28.31,72.37,8.72,114.7,493.6
2008,37.99,82.42,8.0,110.1,522.7
2009,43.12,96.7,9.51,108.5,519.0
2010,50.51,116.33,10.53,110.3,536.1
2011,87.63,184.02,15.51,109.0,565.0
2012,133.1,264.55,20.44,108.6,579.7
2013,151.4,309.22,21.94,107.1,594.8
2014,153.5,315.74,23.39,108.4,606.7
2015,155.0,326.6,25.38,106.4,615.2
2016,167.2,388.62,34.1,106.8,627.5
2017,270.8,582.18,59.4,107.3,637.5
2018,352.0,736.39,65.23,106.4,650.9
2019,412.1,854.3,74.3,106.1,669.8
2020,467.0,949.15,81.54,101.7,686.5
2021,524.6,1061.9,89.83,108.6,692.7
2022,627.2,1241.0,100.93,102.8,706.6
2023,747.3,1476.94,118.67,105.3,708.01
